Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,124
OutDegreeValue,0,1,2,3,4,5,7,9,12,13
OutDegreeCount,2,10,75,20,5,4,1,5,1,1
NAValue,1,2,3,4,5,6
NACount,5,8,9,73,22,7
MPCValue,0.00000,0.33333,0.38400,0.45000,0.80000,0.89751,0.90000,0.91852,0.92160,0.92410,0.93061,0.96000,0.96735,0.98400,1.00000
MPCCount,5,3,4,1,9,4,73,1,1,1,14,1,1,1,5
