Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,96
OutDegreeValue,1,2,3,4,5,7,9,10,14
OutDegreeCount,4,63,14,6,1,2,1,4,1
NAValue,1,2,3,4,5,6
NACount,1,3,5,62,23,2
MPCValue,0.00000,0.14933,0.21600,0.38400,0.76800,0.80000,0.88533,0.88889,0.90000,0.91429,0.93061,0.93223,0.94815,1.00000
MPCCount,1,1,1,1,1,4,2,3,62,4,12,1,1,2
