Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,62
OutDegreeValue,1,2,3,4,6,8,13
OutDegreeCount,3,41,7,4,4,2,1
NAValue,1,2,3,4,5,6
NACount,1,2,4,38,15,2
MPCValue,0.00000,0.15918,0.38400,0.76800,0.80000,0.90000,0.90888,0.91349,0.93061,0.93728,0.94815,0.96000,1.00000
MPCCount,1,1,1,1,3,38,1,2,5,3,2,2,2
