Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,51
OutDegreeValue,1,2,3,7,8,12,13
OutDegreeCount,1,37,5,2,4,1,1
NAValue,1,3,4,5
NACount,1,1,37,12
MPCValue,0.00000,0.83333,0.88800,0.93750,0.96667,0.96886,0.96939
MPCCount,1,1,1,37,2,4,5
