Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,71
OutDegreeValue,1,2,3,4,5,6,10,12
OutDegreeCount,6,46,9,2,2,1,4,1
NAValue,1,2,3,4,5,6
NACount,2,1,7,44,16,1
MPCValue,0.00000,0.19835,0.76800,0.80000,0.90000,0.91429,0.93061,0.93223,0.93728,0.94815,1.00000
MPCCount,2,1,1,6,44,3,8,2,1,2,1
