Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,90
OutDegreeValue,1,2,3,5,8,11,12,13,15
OutDegreeCount,2,64,12,2,6,1,1,1,1
NAValue,1,2,3,4,5,6
NACount,1,1,3,62,22,1
MPCValue,0.00000,0.18333,0.69421,0.78062,0.80000,0.87901,0.89088,0.90000,0.91349,0.93061,0.93223,0.96000,1.00000
MPCCount,1,1,1,2,2,1,1,62,4,11,1,2,1
