Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,94
OutDegreeValue,1,2,3,4,5,7,10,15
OutDegreeCount,3,62,18,1,1,3,5,1
NAValue,1,2,3,4,5,6
NACount,1,2,3,62,25,1
MPCValue,0.00000,0.14062,0.19835,0.80000,0.88533,0.90000,0.91429,0.93061,0.94815,1.00000
MPCCount,1,1,1,3,3,62,4,17,1,1
