Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,83
OutDegreeValue,1,2,3,4,9,10,25
OutDegreeCount,1,59,14,2,1,5,1
NAValue,1,3,4,5
NACount,1,1,57,24
MPCValue,0.00000,0.83333,0.86168,0.93750,0.95238,0.96260,0.96939,0.98765,1.00000
MPCCount,1,1,1,57,4,1,14,2,2
