Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,40
OutDegreeValue,1,2,3,5,6,9,12
OutDegreeCount,3,27,1,3,4,1,1
NAValue,1,3,4,5
NACount,1,3,27,9
MPCValue,0.00000,0.83333,0.93750,0.94675,0.96260,0.96939,0.97107,0.97633
MPCCount,1,3,27,1,1,1,3,3
