Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,94
OutDegreeValue,1,2,3,5,8,10,12,13
OutDegreeCount,1,68,12,3,2,5,1,2
NAValue,1,3,4,5
NACount,3,1,67,23
MPCValue,0.00000,0.83333,0.86168,0.93750,0.95238,0.95679,0.96886,0.96939,0.97107
MPCCount,3,1,1,67,3,2,2,12,3
