Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,74
OutDegreeValue,1,2,3,4,5,7,10,11,12,16,17
OutDegreeCount,1,56,5,2,1,2,3,1,1,1,1
NAValue,1,3,4,5
NACount,1,1,56,16
MPCValue,0.00000,0.83333,0.88154,0.93750,0.95936,0.96000,0.96372,0.96667,0.96939,0.97107,0.98765
MPCCount,1,1,1,56,1,1,3,2,5,1,2
