Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,84
OutDegreeValue,1,2,3,4,5,6,8,10,13
OutDegreeCount,3,55,15,1,2,1,3,3,1
NAValue,1,2,3,4,5,6
NACount,1,3,3,54,22,1
MPCValue,0.00000,0.15918,0.19835,0.60000,0.76800,0.80000,0.85289,0.90000,0.91349,0.91429,0.93061,0.93223,0.93728,1.00000
MPCCount,1,1,1,1,1,2,1,54,3,2,14,1,1,1
