Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,78
OutDegreeValue,1,2,3,9,10,11,12,21
OutDegreeCount,1,56,13,1,4,1,1,1
NAValue,1,3,4,5
NACount,1,1,56,20
MPCValue,0.00000,0.83333,0.87950,0.93750,0.95238,0.95936,0.96000,0.96939
MPCCount,1,1,1,56,4,1,1,13
