Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,97
OutDegreeValue,1,2,3,5,7,9,10,13,31
OutDegreeCount,1,67,20,2,2,2,1,1,1
NAValue,1,3,4,5
NACount,1,1,65,30
MPCValue,0.00000,0.81962,0.83333,0.93750,0.95238,0.96260,0.96667,0.96939,0.97107,1.00000
MPCCount,1,1,1,65,1,2,2,20,2,2
