Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,110
OutDegreeValue,1,2,3,4,5,6,7,8,9
OutDegreeCount,12,63,17,8,2,2,2,1,3
NAValue,1,2,3,4,5,6
NACount,1,9,12,61,18,9
MPCValue,0.00000,0.29388,0.38400,0.45000,0.53333,0.80000,0.88533,0.88889,0.89751,0.90000,0.90888,0.93061,0.93223,0.93600,0.94286,0.97500,1.00000
MPCCount,1,1,3,3,2,12,1,4,3,61,1,8,1,1,1,1,6
