Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,112
OutDegreeValue,1,2,3,6,7,16,38
OutDegreeCount,1,75,28,1,5,1,1
NAValue,1,3,4,5
NACount,1,1,73,37
MPCValue,0.00000,0.78972,0.83333,0.93750,0.94675,0.96667,0.96939,1.00000
MPCCount,1,1,1,73,1,5,28,2
