Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,52
OutDegreeValue,1,2,3,5,7,8,9
OutDegreeCount,2,36,4,2,2,5,1
NAValue,1,2,3,4,5,6
NACount,1,1,3,36,10,1
MPCValue,0.00000,0.26250,0.73469,0.80000,0.85289,0.90000,0.91349,0.92410,0.93010,0.93061,0.93223,1.00000
MPCCount,1,1,1,2,1,36,1,1,4,2,1,1
