Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,94
OutDegreeValue,1,2,3,4,5,6,7
OutDegreeCount,11,54,13,6,7,1,2
NAValue,1,2,3,4,5,6
NACount,1,9,12,48,15,9
MPCValue,0.00000,0.26250,0.38400,0.53333,0.76800,0.80000,0.88889,0.90000,0.90888,0.93061,0.93223,0.93600,0.97500,1.00000
MPCCount,1,2,2,5,1,11,2,48,1,7,5,2,1,6
