Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,86
OutDegreeValue,1,2,3,4,5,8,9,10,12,15
OutDegreeCount,2,62,1,12,1,1,2,3,1,1
NAValue,1,2,3,4,5,6
NACount,1,1,4,60,19,1
MPCValue,0.00000,0.21600,0.76800,0.80000,0.88163,0.88889,0.89088,0.89751,0.90000,0.91349,0.93223,1.00000
MPCCount,1,1,2,2,3,12,1,1,60,1,1,1
