Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,33
OutDegreeValue,1,2,3,6,9,12
OutDegreeCount,1,26,2,2,1,1
NAValue,1,3,4,5
NACount,1,1,20,11
MPCValue,0.00000,0.83333,0.87950,0.93750,0.94675,0.96939,1.00000
MPCCount,1,1,1,20,2,2,6
