Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,46
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,7,28,5,2,2,2
NAValue,1,2,3,4,5,6
NACount,1,5,8,23,7,2
MPCValue,0.00000,0.33333,0.38400,0.45000,0.53333,0.76800,0.80000,0.86400,0.90000,0.90888,0.93223,0.93728,0.94815,0.96000,1.00000
MPCCount,1,1,1,2,1,1,7,1,22,1,1,1,1,3,2
