Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,76
OutDegreeValue,1,2,3,4,5,6,8,10
OutDegreeCount,4,50,11,2,1,2,5,1
NAValue,1,2,3,4,5,6
NACount,5,1,4,47,18,1
MPCValue,0.00000,0.19835,0.76800,0.80000,0.88889,0.90000,0.91349,0.93061,0.93223,0.93728,1.00000
MPCCount,5,1,2,2,2,47,5,9,1,1,1
