Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,94
OutDegreeValue,1,2,3,4,6,8,10,15,16
OutDegreeCount,2,65,15,4,1,2,3,1,1
NAValue,1,2,3,4,5,6
NACount,1,1,4,61,26,1
MPCValue,0.00000,0.13287,0.76800,0.80000,0.90000,0.90888,0.91349,0.91429,0.93061,0.94815,0.96000,1.00000
MPCCount,1,1,2,2,61,1,2,3,14,4,2,1
