Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,73
OutDegreeValue,1,2,3,4,6,7,8,9,10,11
OutDegreeCount,5,47,10,3,1,1,1,3,1,1
NAValue,1,2,3,4,5,6
NACount,1,2,6,46,16,2
MPCValue,0.00000,0.18333,0.19835,0.76800,0.80000,0.82367,0.88889,0.90000,0.91349,0.92410,0.92800,0.93061,0.97500,1.00000
MPCCount,1,1,1,1,5,1,2,46,1,3,1,8,1,1
