Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,72
OutDegreeValue,1,2,3,4,7,8,9,10,11
OutDegreeCount,3,48,11,3,1,1,1,3,1
NAValue,1,2,3,4,5,6
NACount,1,2,5,47,16,1
MPCValue,0.00000,0.18333,0.21600,0.76800,0.80000,0.86667,0.88889,0.90000,0.91349,0.91429,0.92800,0.93061,0.94815,1.00000
MPCCount,1,1,1,2,3,1,2,46,1,3,1,8,1,1
