Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,78
OutDegreeValue,1,2,3,4,5,8,9,15,21
OutDegreeCount,1,56,10,2,1,1,5,1,1
NAValue,1,3,4,5
NACount,1,1,56,20
MPCValue,0.00000,0.83333,0.85068,0.93750,0.95156,0.96260,0.96939,0.97107,0.98765
MPCCount,1,1,1,56,1,5,10,1,2
