Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,72
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,6,42,11,3,4,6
NAValue,1,2,3,4,5,6
NACount,1,6,6,40,15,4
MPCValue,0.00000,0.29388,0.33333,0.38400,0.45000,0.60000,0.73469,0.80000,0.90000,0.93061,0.93223,0.93600,0.93728,0.96000,1.00000
MPCCount,1,1,1,2,1,1,1,5,40,7,1,2,5,2,2
