Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,89
OutDegreeValue,1,2,3,4,5,6,8
OutDegreeCount,11,53,11,3,6,3,2
NAValue,1,2,3,4,5,6
NACount,1,8,11,49,15,5
MPCValue,0.00000,0.29388,0.33333,0.53333,0.80000,0.82500,0.86667,0.88889,0.90000,0.91349,0.93061,0.93223,0.96000,1.00000
MPCCount,1,3,1,4,11,1,1,2,47,2,4,5,2,5
