Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,79
OutDegreeValue,1,2,3,4,5,6,8,10,13
OutDegreeCount,7,47,12,5,3,1,1,2,1
NAValue,1,2,3,4,5,6
NACount,1,3,7,47,18,3
MPCValue,0.00000,0.29388,0.33333,0.38400,0.80000,0.88889,0.90000,0.91349,0.91429,0.93061,0.93223,0.93600,0.94815,1.00000
MPCCount,1,1,1,1,7,3,47,1,2,10,1,1,1,2
