Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,77
OutDegreeValue,1,2,3,4,5,6,7,10
OutDegreeCount,5,54,4,2,3,3,3,3
NAValue,1,2,3,4,5,6
NACount,1,4,6,47,15,4
MPCValue,0.00000,0.29388,0.33333,0.76800,0.80000,0.90000,0.92517,0.92800,0.93061,0.96000,0.96667,0.97500,1.00000
MPCCount,1,1,3,1,5,47,3,3,3,6,2,1,1
