Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,93
OutDegreeValue,1,2,3,4,5,6,8,18
OutDegreeCount,6,57,15,6,2,1,5,1
NAValue,1,2,3,4,5,6
NACount,1,3,6,57,23,3
MPCValue,0.00000,0.23704,0.45000,0.80000,0.88889,0.90000,0.90888,0.91349,0.93061,0.93600,0.94815,1.00000
MPCCount,1,1,2,6,4,57,1,4,12,2,2,1
