Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,107
OutDegreeValue,1,2,3,4,5,7,10,16
OutDegreeCount,9,62,22,7,1,3,2,1
NAValue,1,2,3,4,5,6
NACount,1,6,9,61,24,6
MPCValue,0.00000,0.13287,0.33333,0.38400,0.45000,0.80000,0.88533,0.90000,0.91429,0.93061,0.94815,0.96000,0.97500,1.00000
MPCCount,1,1,1,3,1,9,3,61,2,16,2,1,2,4
