Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,103
OutDegreeValue,1,2,3,4,5,6,7,14
OutDegreeCount,9,59,21,5,2,3,3,1
NAValue,1,2,3,4,5,6
NACount,1,6,9,57,24,6
MPCValue,0.00000,0.14933,0.33333,0.38400,0.80000,0.88533,0.90000,0.90888,0.93061,0.93223,0.96000,1.00000
MPCCount,1,1,1,4,9,3,57,3,15,1,2,6
