Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,108
OutDegreeValue,1,2,3,5,6,7,8,9
OutDegreeCount,9,71,15,1,4,4,2,2
NAValue,1,2,3,4,5,6
NACount,1,6,10,61,25,5
MPCValue,0.00000,0.23704,0.26250,0.29388,0.76800,0.80000,0.88533,0.89751,0.90000,0.92800,0.93010,0.93061,0.93223,0.96000,1.00000
MPCCount,1,1,1,4,1,9,2,2,61,1,1,10,1,8,5
