Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,104
OutDegreeValue,1,2,3,4,5,7,8,9,18
OutDegreeCount,6,65,18,7,1,1,4,1,1
NAValue,1,2,3,4,5,6
NACount,1,3,6,62,30,2
MPCValue,0.00000,0.11967,0.21600,0.26250,0.80000,0.88889,0.90000,0.91349,0.93061,0.93600,0.94815,0.96000,0.97959
MPCCount,1,1,1,1,6,3,62,4,18,1,2,3,1
