Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,110
OutDegreeValue,1,2,3,4,5,8,11
OutDegreeCount,7,68,9,11,12,2,1
NAValue,1,2,3,4,5,6
NACount,1,6,7,64,26,6
MPCValue,0.00000,0.23704,0.38400,0.80000,0.86367,0.88889,0.90000,0.93061,0.93223,0.93600,0.94815,0.96000,0.97500,0.98400,1.00000
MPCCount,1,1,5,7,1,1,64,8,10,1,2,4,3,1,1
