Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,55
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,12,32,1,3,4,3
NAValue,1,2,3,4,5,6
NACount,1,6,12,28,7,1
MPCValue,0.00000,0.29388,0.53333,0.60000,0.76800,0.80000,0.88889,0.90000,0.93223,0.94815,1.00000
MPCCount,1,2,3,1,1,11,2,28,4,1,1
