Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,94
OutDegreeValue,1,2,3,8,10,11,12,24
OutDegreeCount,1,69,13,3,4,2,1,1
NAValue,1,3,4,5
NACount,1,1,69,23
MPCValue,0.00000,0.83333,0.92800,0.93750,0.95238,0.95936,0.96886,0.96939
MPCCount,1,1,1,69,4,2,3,13
