Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,82
OutDegreeValue,1,2,3,4,5,6,10
OutDegreeCount,10,50,10,2,5,1,4
NAValue,1,2,3,4,5,6
NACount,1,7,9,47,14,4
MPCValue,0.00000,0.19835,0.33333,0.38400,0.53333,0.60000,0.80000,0.90000,0.91429,0.93061,0.93223,0.96667,0.98400,1.00000
MPCCount,1,1,1,1,3,1,9,47,3,8,3,1,1,2
