Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,58
OutDegreeValue,1,2,3,5,6,8,9,10
OutDegreeCount,4,38,8,1,2,1,1,3
NAValue,1,2,3,4,5,6
NACount,1,1,5,37,13,1
MPCValue,0.00000,0.21600,0.76800,0.80000,0.90000,0.91429,0.93010,0.93061,0.93223,0.93728,1.00000
MPCCount,1,1,1,4,37,2,1,7,1,2,1
