Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,67
OutDegreeValue,1,2,3,4,5,8,9
OutDegreeCount,4,43,9,2,1,7,1
NAValue,1,2,3,4,5,6
NACount,1,2,4,43,15,2
MPCValue,0.00000,0.21600,0.38400,0.80000,0.88889,0.90000,0.93010,0.93061,0.93223,1.00000
MPCCount,1,1,1,4,1,43,6,7,1,2
