Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,176
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,30,87,35,8,7,9
NAValue,1,2,3,4,5,6
NACount,1,19,31,87,21,17
MPCValue,0.00000,0.29388,0.38400,0.45000,0.76800,0.80000,0.86667,0.90000,0.93061,0.93223,0.96667,0.98400,1.00000
MPCCount,1,1,8,10,1,30,1,86,16,5,8,2,7
