Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,40
OutDegreeValue,1,2,3,5,6
OutDegreeCount,3,29,1,4,3
NAValue,1,2,3,4,5
NACount,1,2,3,23,11
MPCValue,0.00000,0.29388,0.33333,0.80000,0.82367,0.85289,0.90000,0.90888,0.93061,0.93223,0.96000
MPCCount,1,1,1,3,1,1,23,1,1,1,6
