Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,202
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,20,109,22,42,7,2
NAValue,1,2,3,4,5,6
NACount,1,17,20,106,41,17
MPCValue,0.00000,0.29388,0.33333,0.38400,0.80000,0.88889,0.90000,0.93061,0.93223,0.93600,0.94815,0.96000,0.97500,1.00000
MPCCount,1,2,2,13,20,8,106,20,2,3,8,3,12,2
