Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,66
OutDegreeValue,1,2,3,4,7,8,9,10,11
OutDegreeCount,2,49,3,3,2,1,1,1,4
NAValue,1,2,3,4,5,6
NACount,1,1,3,47,13,1
MPCValue,0.00000,0.19835,0.71111,0.80000,0.84432,0.88889,0.90000,0.91349,0.92098,0.92800,0.93061,0.96000,1.00000
MPCCount,1,1,1,2,1,2,47,1,4,1,2,2,1
