Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,64
OutDegreeValue,1,2,3,4,6,8,10,13
OutDegreeCount,2,44,9,1,3,3,1,1
NAValue,1,2,3,4,5,6
NACount,1,1,2,41,18,1
MPCValue,0.00000,0.23704,0.80000,0.86367,0.90000,0.90888,0.91349,0.91429,0.93061,0.93728,0.96000,0.97500
MPCCount,1,1,2,1,41,2,1,1,9,1,3,1
