Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,113
OutDegreeValue,1,2,3,4,5,6,7,8,9,16
OutDegreeCount,7,69,20,4,5,1,1,4,1,1
NAValue,1,2,3,4,5,6
NACount,1,4,9,68,27,4
MPCValue,0.00000,0.13287,0.21600,0.33333,0.73469,0.80000,0.88889,0.90000,0.90888,0.91349,0.92800,0.93061,0.94815,0.96000,0.97500,0.98400,1.00000
MPCCount,1,1,1,2,2,7,1,68,1,4,1,17,2,1,1,2,1
