Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,63
OutDegreeValue,1,2,3,4,5,7,8,9
OutDegreeCount,5,39,6,4,3,2,3,1
NAValue,1,2,3,4,5,6
NACount,1,4,7,39,8,4
MPCValue,0.00000,0.33333,0.45000,0.73469,0.80000,0.88889,0.90000,0.92410,0.92800,0.93010,0.93600,0.97500,1.00000
MPCCount,1,2,2,2,5,2,39,1,2,3,1,2,1
