Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,179
OutDegreeValue,1,2,3,4,5,6,7,8,9,10
OutDegreeCount,15,114,15,11,9,2,6,4,1,2
NAValue,1,2,3,4,5,6
NACount,5,8,15,107,37,7
MPCValue,0.00000,0.21600,0.23704,0.38400,0.53333,0.80000,0.82367,0.85289,0.86367,0.88533,0.88889,0.90000,0.90888,0.92517,0.92800,0.93061,0.93223,0.93600,0.94286,0.96000,0.97500,0.98400
MPCCount,5,1,3,2,2,16,1,1,1,2,4,107,1,2,2,12,6,1,1,4,4,1
