Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,82
OutDegreeValue,1,2,3,4,7,8,9,11,13
OutDegreeCount,5,52,15,2,1,1,4,1,1
NAValue,1,2,3,4,5,6
NACount,1,2,5,53,20,1
MPCValue,0.00000,0.15918,0.18333,0.80000,0.86667,0.88533,0.90000,0.92410,0.93010,0.93061,0.94815,1.00000
MPCCount,1,1,1,5,1,1,52,4,1,12,2,1
