Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,58
OutDegreeValue,1,2,3,4,5,6,11,13,16
OutDegreeCount,1,44,4,1,1,1,4,1,1
NAValue,1,3,4,5
NACount,1,1,44,12
MPCValue,0.00000,0.83333,0.85799,0.93664,0.93750,0.95936,0.96939,0.97107,0.98765
MPCCount,1,1,1,1,44,4,4,1,1
