Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,178
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,42,82,23,21,2,8
NAValue,1,2,3,4,5,6
NACount,1,19,43,81,16,18
MPCValue,0.00000,0.33333,0.38400,0.45000,0.76800,0.80000,0.90000,0.93061,0.96667,0.97500,0.98400,1.00000
MPCCount,1,1,16,2,1,42,81,16,8,5,1,4
