Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,96
OutDegreeValue,1,2,3,4,5,6,7,8,11,18
OutDegreeCount,3,65,15,2,1,2,2,4,1,1
NAValue,1,2,3,4,5
NACount,1,2,3,63,27
MPCValue,0.00000,0.11967,0.18333,0.80000,0.82367,0.88533,0.90000,0.91349,0.93061,0.93223,0.94815,0.96000
MPCCount,1,1,1,3,2,2,63,4,14,1,2,2
