Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,48
OutDegreeValue,1,2,4,5,6,7,9,10
OutDegreeCount,2,35,1,1,5,1,2,1
NAValue,1,2,3,4,5,6
NACount,1,1,2,33,10,1
MPCValue,0.00000,0.29388,0.80000,0.88163,0.90000,0.92410,0.93223,0.93728,0.96000,0.97500
MPCCount,1,1,2,1,33,2,1,4,2,1
