Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,102
OutDegreeValue,1,2,3,4,5,6,8,9
OutDegreeCount,11,59,17,5,1,4,2,3
NAValue,1,2,3,4,5,6
NACount,1,7,11,57,19,7
MPCValue,0.00000,0.29388,0.38400,0.80000,0.89751,0.90000,0.91349,0.93061,0.93600,0.93728,0.96000,0.97500,1.00000
MPCCount,1,3,4,11,3,57,2,11,1,1,2,1,5
