Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,31
OutDegreeValue,1,2,3,7,9,12
OutDegreeCount,1,21,5,2,1,1
NAValue,1,3,4,5
NACount,1,1,21,8
MPCValue,0.00000,0.83333,0.88800,0.93750,0.96667,0.96939
MPCCount,1,1,1,21,2,5
