Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,57
OutDegreeValue,1,2,3,4,5,10,11,12,14
OutDegreeCount,1,46,1,1,1,1,1,4,1
NAValue,1,3,4,5
NACount,1,1,44,11
MPCValue,0.00000,0.83333,0.90369,0.92593,0.93750,0.95238,0.95936,0.96000,0.96939,0.97107,1.00000
MPCCount,1,1,1,1,44,1,1,3,1,1,2
