Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,53
OutDegreeValue,1,2,3,4,6,8,10,12,14
OutDegreeCount,1,40,3,2,1,1,2,1,2
NAValue,1,3,4,5
NACount,1,1,40,11
MPCValue,0.00000,0.83333,0.92593,0.93750,0.95156,0.95719,0.96372,0.96939,0.97633
MPCCount,1,1,2,40,1,2,2,3,1
