Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,85
OutDegreeValue,1,2,3,4,6,7,8,10,15
OutDegreeCount,5,53,16,2,2,1,4,1,1
NAValue,1,2,3,4,5,6
NACount,1,2,5,53,22,2
MPCValue,0.00000,0.14062,0.19835,0.80000,0.88533,0.90000,0.90888,0.91349,0.93061,0.94815,1.00000
MPCCount,1,1,1,5,1,53,2,4,14,1,2
