Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,39
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,6,21,6,3,1,2
NAValue,1,2,3,4,5,6
NACount,1,3,7,21,6,1
MPCValue,0.00000,0.38400,0.45000,0.76800,0.80000,0.86667,0.88889,0.90000,0.93061,0.93223
MPCCount,1,1,2,1,6,1,2,21,3,1
