Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,44
OutDegreeValue,1,2,3,4,5,6
OutDegreeCount,3,28,4,1,2,6
NAValue,1,2,3,4,5,6
NACount,1,2,5,26,8,2
MPCValue,0.00000,0.29388,0.76800,0.80000,0.90000,0.93061,0.93223,0.93728,0.97500,1.00000
MPCCount,1,2,2,3,26,2,2,4,1,1
