Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,97
OutDegreeValue,1,2,3,6,7,9,10,18,25
OutDegreeCount,1,71,13,2,1,5,2,1,1
NAValue,1,3,4,5
NACount,1,1,71,24
MPCValue,0.00000,0.83333,0.86194,0.93750,0.96260,0.96372,0.96667,0.96939,0.97633
MPCCount,1,1,1,71,5,2,1,13,2
