Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,92
OutDegreeValue,1,2,3,5,8,9,16,27
OutDegreeCount,1,66,15,2,2,4,1,1
NAValue,1,3,4,5
NACount,1,1,64,26
MPCValue,0.00000,0.78972,0.83333,0.93750,0.96260,0.96886,0.96939,0.97107,1.00000
MPCCount,1,1,1,64,4,2,15,2,2
