Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5
OutDegreeCount,8,6,8,3,3,1
NAValue,1,2,3,4,5,6
NACount,10,3,7,7,1,1
MPCValue,0.00000,0.33333,0.45000,0.76800,0.80000,0.90000,0.94815,1.00000
MPCCount,10,1,2,1,6,7,1,1
